"subjectId" "activityId" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "activityType"
1 1 0.276260200872757 -0.0177677108511182 -0.108884089505465 -0.312641276860938 -0.0202716892534421 -0.246279194916452 0.933317070057096 -0.199518178897227 -0.0649048773550457 -0.977509136933116 -0.966631852120718 -0.952444776696574 0.0781529317778793 0.0121226741316897 -0.00375555256860604 -0.282116881167088 -0.104970427937531 -0.461915637480408 -0.0312533147691762 -0.0713125942324959 0.0841943988581277 -0.461290098708157 -0.325584920802455 -0.32080957637553 -0.0968968860162643 -0.0443103427345922 -0.0524042952439478 -0.361232566109217 -0.502931986096003 -0.440865118262072 -0.16078708767832 -0.33054317771252 -0.16078708767832 -0.33054317771252 -0.243182988691175 -0.22122673901031 -0.257203964799315 -0.36096832426354 -0.450009825369331 -0.487888281890326 -0.299246289954772 -0.0400579863409135 -0.320268879986729 -0.319449560903263 -0.0733724623492251 -0.267572362684095 -0.302368465272757 0.044701989027721 0.0680922608795734 -0.321121167768654 -0.173139305678834 -0.434049963153246 -0.306296265538255 -0.0916769810447162 -0.488938910530661 -0.266572265205873 -0.35778634622031 -0.245043249244543 -0.342625352351713 -0.373186450008817 -0.299156019251648 -0.501130832201272 -0.305965827883026 -0.392421798877651 -0.0707009641699592 -0.110087867172912 -0.0830021343186297 -0.274583992340065 -0.469706683062806 0.159285968600769 -0.220474636401958 -0.229687911080799 0.0706950272652586 -0.393456402177055 -0.451461098451794 0.146866932989706 -0.507109768565555 -0.501290499908646 0.117421236499339 4
2 2.31563636363636 0.264385849970473 -0.0249965436678909 -0.119375106903055 -0.30552571389184 -0.0944874617001236 -0.238979669499505 0.825904150865455 -0.256233478775959 -0.0861169101116087 -0.950005808952727 -0.932998803032727 -0.909714086450909 0.07824910073616 0.00971217526910545 -0.00415206451856727 -0.400207273806982 -0.364415676839484 -0.648481810804364 0.00497248383689455 -0.0881379694810313 0.0574970825215564 -0.516179762179491 -0.409726918119273 -0.325526714381251 -0.109467950095745 -0.0402174759024582 -0.05281141950288 -0.571007106636 -0.687956801099636 -0.588290414122284 -0.176445900883905 -0.305233747264902 -0.176445900883905 -0.305233747264902 -0.426632677666618 -0.414755673172291 -0.26419140868624 -0.386694707323055 -0.633068068307709 -0.680853518968 -0.348797212932298 -0.190528839219935 -0.413416262748582 -0.291120338041535 -0.106421107909775 -0.214593951310844 -0.368007741472975 -0.11209015593624 -0.198964148555545 -0.4238008226752 -0.388661377334829 -0.615070707098182 -0.430446882400364 -0.382428180374705 -0.680942469767273 -0.243938758813225 -0.38254406893184 -0.3712829162072 -0.442914095418836 -0.506081182348327 -0.364325339709818 -0.543341765561964 -0.368018872469673 -0.379217275116655 -0.169078421170218 -0.263104716564473 -0.194307398895164 -0.307200811747665 -0.414511160140436 -0.000991753522341818 -0.387792432026109 -0.457237500780684 0.104081699182385 -0.4889026531264 -0.429786153274036 -0.131768932336183 -0.676518758921818 -0.71095053248 0.0981693331594109 5.45381818181818
3 3 0.288168888475659 -0.0163701864217556 -0.105860325152107 0.139846824303926 0.079183931731927 -0.168367906550132 0.924336230375254 -0.167095144852028 -0.0521996569589989 -0.948808651206897 -0.934591624918864 -0.909636090415821 0.0882069647409736 0.00243695730748479 -0.00887530540913793 -0.0081975248379716 -0.0618724537659239 -0.373529594680882 -0.0766623641270639 -0.0559099218163377 0.0939252913958722 -0.316944038169878 -0.306181913257404 -0.26144603615071 -0.0742508688621095 -0.0519342665009533 -0.052917414205284 -0.374000213890974 -0.444762616614097 -0.318832476117718 0.137366108163682 0.144636835872059 0.137366108163682 0.144636835872059 -0.0896983345591278 0.00319743123002028 -0.104601976301298 -0.227265452316329 -0.397171015459939 -0.430866415856653 0.0713559405859939 0.0737650952372211 -0.192976080589219 0.161841907222363 0.0116440806198682 -0.224422769657505 -0.39946684501572 -0.0069884992618357 0.0924102328817039 -0.0476361590971602 -0.105878566493306 -0.314602839812373 -0.0578981617975233 -0.0790313050466197 -0.432035778998519 -0.318567349401623 -0.394086175110345 -0.231188603351369 -0.201783634086511 -0.28679197429716 -0.152922530932252 -0.358229126788915 -0.32730982482787 -0.370165715908925 -0.18016869468143 -0.0538052977768661 -0.02885430503036 0.171065464344219 -0.0519754917174949 0.025813453780355 0.027554426056359 -0.0387999123583974 0.0239055378803245 -0.266010319105811 -0.341661716555527 0.0661383641365012 -0.423414186458479 -0.483144255183296 0.099319923964717 5
4 3.89706799750468 0.273594172697754 -0.0126697317301085 -0.106766769574797 -0.908651437703057 -0.851909753047361 -0.893833943007486 0.83840752661884 0.120769241569917 0.162520787750287 -0.975816271341235 -0.954440916352464 -0.946035631383656 0.0763848999508172 0.00468586085835945 -0.00295669589725764 -0.915600769359208 -0.897409676962258 -0.955004178752339 -0.0360727963815134 -0.0739735272159264 0.0818841385127823 -0.925918326012477 -0.933069234036182 -0.91291051790393 -0.0983016395810979 -0.0404869734938016 -0.0525890715305976 -0.934615719082969 -0.970012723792888 -0.937535092892701 -0.877254146867686 -0.873551237162321 -0.877254146867686 -0.873551237162321 -0.918330593972944 -0.913748290442296 -0.889849143748971 -0.902581999189644 -0.95481656040549 -0.95706254834685 -0.913145386796631 -0.865143350384279 -0.917485749619463 -0.907317650566032 -0.85498802721136 -0.889887165678104 -0.0804970062659139 0.078391055915053 0.0642838089836351 -0.919712401483656 -0.901022823694173 -0.949261620779788 -0.919072036307735 -0.9007403886733 -0.959450181877729 0.148016967261739 -0.0775630505300936 -0.01615291381367 -0.911431159765814 -0.944368542701185 -0.907675828406737 -0.930919659215845 -0.927828882882096 -0.923429351565814 0.0300627833785527 -0.249481310902127 0.00874325677791017 -0.883345535696694 -0.888767036132876 0.11469091255114 -0.911185766990081 -0.91690396144292 0.254721061992414 -0.920902554598253 -0.90804579188272 -0.0819123730596132 -0.956639972414223 -0.960634632276981 0.17044814049476 2.29008109794136
5 5 0.279293757074236 -0.0161230846636681 -0.10732962785709 -0.985346233195051 -0.936013307409025 -0.942359763042212 0.940855692081514 -0.182159165492402 -0.0273917941389855 -0.988270207540029 -0.970754316870451 -0.955334333173217 0.07485715063377 0.00877429407298399 -0.00387217635462227 -0.981622950225619 -0.96660630371179 -0.980575465705968 -0.0263231980185808 -0.0660746057299709 0.0787782501328239 -0.950981475866084 -0.96414183628821 -0.960106905407569 -0.0994459157848617 -0.0424437794962882 -0.0518025512964192 -0.969492009825327 -0.98204418555313 -0.978999994272198 -0.95678885018195 -0.949050271871907 -0.95678885018195 -0.949050271871907 -0.978738869002911 -0.973516388609898 -0.947207964796215 -0.935924401841339 -0.980589908020378 -0.976113861921397 -0.982912890618632 -0.946150893748181 -0.959054674475983 -0.986574413391557 -0.934624538980349 -0.938062292598253 0.0067911345134687 -0.0261460111634789 0.0619700524750218 -0.981626816149927 -0.966931953151383 -0.977422716790393 -0.983361688056769 -0.968763727401747 -0.982416433216885 0.203624571628353 -0.124820871733421 0.00376355048693595 -0.949080252780204 -0.968026748042213 -0.961498605240175 -0.952324284970888 -0.962401947845706 -0.96344778356623 -0.215859370847846 -0.208259271266361 -0.0795498188794178 -0.958227593384279 -0.951799775699709 0.0614368297577918 -0.973202412219796 -0.972900383770015 0.261669016344236 -0.952814999133916 -0.936800772816594 -0.172502975983245 -0.97750742639738 -0.975822682598253 0.0942707017005167 3
6 6 0.26919100708877 -0.0183452479771855 -0.107168709636461 -0.959475238302061 -0.937608935448472 -0.941635287283866 -0.370854938686567 0.632926187069652 0.57557155056091 -0.941599380704335 -0.957061403069012 -0.943600986262971 0.0815722575616205 0.0113483623410661 -0.00532249999608209 -0.980429538464819 -0.970716016723525 -0.979334766545842 -0.0167611908027991 -0.091660815198081 0.127147917707889 -0.965341869218906 -0.963438605707178 -0.961435198422175 -0.102019624959062 -0.0382683832088763 -0.0639964642257285 -0.975493723411514 -0.981437634278607 -0.984583429004975 -0.933298701817342 -0.925425270312722 -0.933298701817342 -0.925425270312722 -0.979067883653163 -0.974099433837953 -0.935764661371713 -0.937939730744847 -0.983166670739161 -0.977324912189055 -0.96623357050462 -0.948790913989339 -0.956210691862118 -0.957307907502701 -0.936034910177683 -0.938502036889055 -0.264202929041037 0.12457473152693 0.1884027955385 -0.980189178550107 -0.97089486137882 -0.97631433684435 -0.98256876949538 -0.972728982835821 -0.981007056687989 0.102008711782836 -0.00447192563333404 0.067441959708236 -0.960446780433049 -0.968139785280739 -0.962619007583511 -0.967206952885572 -0.961463062750533 -0.964692895927505 -0.0271580759273205 -0.14689946168204 0.113421892575601 -0.943950932251599 -0.927962071920256 0.0985476981401137 -0.9741812297086 -0.97302950880597 0.282917208316915 -0.953724931549396 -0.939025835269367 -0.0458462007158778 -0.978582414975124 -0.977124064577114 0.163177107575928 1
9 3.47569444444444 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.291349229752569 -0.0879003298041667 -0.0304334227664236 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.219176266215278 -0.296107744084757 -0.290292303180208 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.205909254584222 -0.240880440259861 -0.196153280691528 -0.553186448295139 -0.624456827182986 -0.00358269125034722 -0.609193721940625 -0.611619343190972 0.0983598303289236 -0.700863097986111 -0.697729432621528 -0.108828634535764 -0.786473954201389 -0.801296292638889 0.0927763736788194 3.46180555555556
10 3.55442176870748 0.27684847392517 -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.614776952226361 0.642905730306122 -0.0740248544557823 0.0552047227876769 -0.965808126428571 -0.95452407255102 -0.938706428064626 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.52938321427551 -0.540236619204728 -0.750729260772109 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.591333155194558 -0.598142328621088 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.703243499727891 -0.768641779047619 -0.686800252738095 -0.502500207000204 -0.545348810631551 -0.502500207000204 -0.545348810631551 -0.57776193128833 -0.529340480130272 -0.521819802352381 -0.624408369413333 -0.734465805340136 -0.768821828979592 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.541170169070068 -0.532135172812313 -0.625871772082993 -0.156150832113776 0.0948129948809524 0.150687015615519 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.553403478735408 -0.556271725483333 -0.77916817122449 -0.0313012983494898 -0.148940675963605 0.0112385060119048 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.692654261914966 -0.565943677806122 -0.645947720476871 -0.0663150945743537 -0.0881515905938775 -0.0500743540119048 -0.518734046961905 -0.633196110969728 0.173253569411224 -0.515140810846939 -0.553027359614864 0.163072697936429 -0.661496552826531 -0.666014612598639 0.0120855942278469 -0.767780095068027 -0.787144257176871 0.153580253720748 3.34013605442177
12 3.628125 0.27360872421875 -0.018337204411489 -0.106649116775 -0.583962207065 -0.522040023435 -0.699293531365625 0.69922245131875 0.029976775735 0.0330295544910625 -0.96738343446875 -0.9605729084375 -0.9468085636875 0.070430311315625 0.0053115377979375 0.0003081123684 -0.582418267596875 -0.571359817082031 -0.79262193625 -0.0628663472537188 -0.0592027333975 0.0960742146838125 -0.727881704983125 -0.73506282621875 -0.671057678528125 -0.0731134377315625 -0.043678823491875 -0.0574585039485312 -0.709726149496875 -0.8112325993125 -0.749351860259375 -0.559586545675313 -0.5743864944925 -0.559586545675313 -0.5743864944925 -0.6300504918575 -0.566365683597188 -0.63166805889875 -0.68485805678325 -0.77729447821875 -0.7863865328125 -0.578920210879375 -0.523287078731563 -0.7266403145 -0.586922577889687 -0.553076639139062 -0.709983235125 -0.183738216351156 0.0444598424159375 0.0689109866546875 -0.599109317756219 -0.591296422972219 -0.7754265825625 -0.602960063359688 -0.579168053712969 -0.80858300040625 -0.046619864264875 -0.204694170128437 -0.097564019993875 -0.661246826087188 -0.74479814778125 -0.657369914584375 -0.750393858303125 -0.7334567315 -0.70823315425 -0.084349829508125 -0.107309871566031 -0.064849391596875 -0.55928367746625 -0.65053328158 0.0755926577467031 -0.564239194378438 -0.571614888155312 0.126323612300937 -0.717311676745625 -0.719438065809375 -0.0455357170932187 -0.78990285099375 -0.7973614576875 0.0705873609285625 3.396875
13 3.55045871559633 0.275895876198777 -0.0176504796070948 -0.109135285550765 -0.624844460199083 -0.448816097853364 -0.587230562129052 0.709996516908257 -0.0420858101162079 0.0443010536786239 -0.967268063455658 -0.953540716850153 -0.938727880275229 0.0794393034550306 0.00387961953328135 -0.0123485923641621 -0.638889532599083 -0.569700547488012 -0.728452966311927 -0.0562470618980061 -0.0616613787494801 0.098866059686422 -0.715109859672783 -0.645728612088685 -0.643337285033639 -0.0881182379434251 -0.0440836605146789 -0.0582718748712538 -0.715772980189602 -0.718988591831804 -0.712716428498471 -0.539871637249541 -0.597230982062691 -0.539871637249541 -0.597230982062691 -0.625466938809174 -0.610248540269939 -0.581215403184709 -0.636364939544342 -0.712745036012232 -0.712056186747706 -0.638817912651682 -0.493467193137125 -0.629736258731804 -0.620602036452599 -0.462584458627829 -0.599036895271407 -0.222056646711315 -0.0348311463927523 0.0487260271941896 -0.66008217407156 -0.603340489937615 -0.710831730361468 -0.649606227431844 -0.562129866937645 -0.744823539571865 -0.0241961823456881 -0.238328546685321 -0.120605488176024 -0.65864242140581 -0.647152817899388 -0.620471226529052 -0.734657989051988 -0.650623558847401 -0.685774481529052 -0.112645469406422 -0.0806130190608563 -0.00505036969339144 -0.589928108599083 -0.665344858593272 0.0849475684648318 -0.607295296423853 -0.617075473106453 0.182861249947095 -0.652225306544343 -0.691915161336391 0.0625891805875841 -0.712054366504281 -0.733183567759939 0.157417463421743 3.43730886850153
